id,bond_id,trade_price,weight,current_coupon,time_to_maturity,is_callable,reporting_delay,trade_size,trade_type,curve_based_price
1,1,128.596,11.31640402,5.95,26.03112583,0,1.731,120000,2,127.5612012
2,1,126.673,8.763445897,5.95,26.01669696,0,30.518,85000,4,126.3235283
3,1,126.88,6.499730345,5.95,26.00875966,0,4.424,4200000,3,126.7614334
4,1,126.362,0.865853963,5.95,26.00861881,0,43.059,5000001,2,127.0257646
5,1,124.918,11.93854338,5.95,25.98184039,0,6.332,10000,2,125.7360815
6,1,128.891,1.479307232,5.95,25.98142926,0,35.982,29000,4,126.6360787
7,1,126.061,10.1558383,5.95,25.96205103,0,12.601,220000,3,126.1803338
8,1,124.757,7.56782324,5.95,25.95129076,0,0.631,1000000,3,124.7219533
9,1,125.101,0.469131038,5.95,25.95124943,0,2.091,400000,3,124.7176077
10,1,126.268,7.61685103,5.95,25.94034927,0,12.54,150000,3,126.0173628
11,1,128.399,6.434827319,5.95,25.9325697,0,1.99,1350000,3,128.2623322
12,1,130.51939,8.635507921,5.95,25.91855907,0,21.17,10000,3,127.8336881
13,1,131.47109,5.556971826,5.95,25.91275732,0,45.073,5000,3,125.4904015
14,1,131.14667,8.430186124,5.95,25.89940502,0,43.44,8000,3,127.6376335
15,1,125.8,9.308894471,5.95,25.88312412,0,3.81,900000,2,127.6171512
16,1,125.8,3.639558489,5.95,25.88063538,0,35.732,900000,2,127.4345922
17,1,125.8,0.036745179,5.95,25.88063515,0,78495.985,900000,2,127.4345922
18,1,131.15449,5.564256318,5.95,25.87481819,0,33.468,25000,3,125.9712976
19,1,124.877,6.510329067,5.95,25.866855,0,1.807,1350000,2,125.5866733
20,1,124.749,3.821586926,5.95,25.86411109,0,6.801,375000,3,125.5601881
21,1,126.64,4.223518251,5.95,25.86075967,0,6.01,100000,3,126.3337498
22,1,126.379,5.022879125,5.95,25.85601957,0,1.711,370000,2,126.459539
23,1,122.633,12.11556306,5.95,25.82844115,0,2.89,3650000,4,123.786641
24,1,122.696,0.291945013,5.95,25.82842516,0,139.269,3445000,4,123.786641
25,1,122.696,0.012991383,5.95,25.82842515,0,139.573,630000,4,123.786641
26,1,122.633,0.183266004,5.95,25.82841885,0,4.161,425000,4,123.5498717
27,1,126.515,3.971242745,5.95,25.82545585,0,24.433,40000,3,123.7463918
28,1,123.608,1.421413995,5.95,25.82507626,0,0.937,68000,4,124.0251351
29,2,101.086,0.995092415,3.55,0.343282096,0,4.809,500000,2,101.1031796
30,2,101.033,1.241883762,3.55,0.342992333,0,2.793,25000,2,101.1019277
31,2,100.9777,3.555202867,3.55,0.340617648,0,6.845,25000,2,101.0774051
32,2,100.966,4.111787973,3.55,0.337441197,0,6.398,15000,2,101.0629807
33,2,100.963,7.46413438,3.55,0.326973761,0,3.467,50000,2,101.0632938
34,2,101.0184,1.244531054,3.55,0.326682769,0,452.208,3000000,3,101.0670773
35,2,100.995,0.440559217,3.55,0.32664633,0,336.335,3000000,2,101.0661144
36,2,100.85,0.854374795,3.55,0.32650921,0,209.545,25000,2,101.0660382
37,2,101.009,0.78959396,3.55,0.326392088,0,8.114,450000,2,101.0685456
38,2,101.009,0.018372589,3.55,0.326392049,0,9.327,450000,3,101.0685456
39,2,101.024,3.247066064,3.55,0.324411156,0,4.781,450000,2,101.0315044
